amenity,name,geometry,icon,color
place_of_worship,I Am Sanctuary and Reading Room,POINT (-97.7431171 30.3304457),institution,orange
place_of_worship,Lake Hills Congregational Church,POINT (-97.9044797 30.2580232),institution,orange
place_of_worship,Metropolitan Community Church of Austin,POINT (-97.7977573 30.176552),institution,orange
place_of_worship,Templo Monte Horeb Asamblea de Dios,POINT (-97.7828921 30.1990844),institution,orange
place_of_worship,New Bethel African Methodist Episcopal Church,POINT (-97.8330504 30.1512179),institution,orange
place_of_worship,Oak Meadow Baptist Church,POINT (-97.7680366 30.2286831),institution,orange
place_of_worship,Saint John's Presbyterian Church,POINT (-97.8471481 30.14424),institution,orange
place_of_worship,Saint John's United Methodist Church,POINT (-97.7413899 30.3354061),institution,orange
place_of_worship,Saint Philip Episcopal Church,POINT (-97.833208 30.1528278),institution,orange
place_of_worship,Teri Road Baptist Church,POINT (-97.7547832 30.2041056),institution,orange
place_of_worship,Trinity Baptist Church,POINT (-97.7333379 30.3255534),institution,orange
place_of_worship,Triumphant Love Lutheran Church,POINT (-97.7558381 30.3945438),institution,orange
place_of_worship,Agape Christian Ministries,POINT (-97.7717561 30.2227791),institution,orange
place_of_worship,Austin Christian Tabernacle,POINT (-97.7736105 30.2207683),institution,orange
place_of_worship,Bethany United Methodist Church,POINT (-97.7993011 30.4476034),institution,orange
place_of_worship,Cameron Grove Baptist Church,POINT (-97.7349858 30.3221602),institution,orange
place_of_worship,Church in Austin,POINT (-97.7807877 30.1789628),institution,orange
place_of_worship,Church of Christ of South Austin,POINT (-97.791389 30.1943031),institution,orange
place_of_worship,Community of Christ Church,POINT (-97.7756575 30.2498927),institution,orange
place_of_worship,Dayspring Chapel,POINT (-97.71909 30.3197152),institution,orange
place_of_worship,El Buen Samaritano Episcopal Mission,POINT (-97.80219 30.1992998),institution,orange
place_of_worship,Fairview Family Center,POINT (-97.7753213 30.2099204),institution,orange
restaurant,La Palapa,POINT (-97.6932173 30.3221769),cutlery,green
restaurant,Pappasitos,POINT (-97.704881 30.3269188),cutlery,green
library,Texas State Law Library,POINT (-97.741983 30.2762364),book,orange
restaurant,Chinatown,POINT (-97.7473599 30.3565687),cutlery,green
pub,Deep Eddy Cabaret,POINT (-97.772558 30.277787),beer,green
restaurant,Mangia Pizza,POINT (-97.7729085 30.2778528),cutlery,green
restaurant,Galaxy Cafe,POINT (-97.7600581 30.2794133),cutlery,green
restaurant,Hyde Park Bar & Grill,POINT (-97.8001648 30.2316672),cutlery,green
restaurant,Sap's Fine Thai Cuisine,POINT (-97.8008555 30.2314518),cutlery,green
cafe,Starbucks,POINT (-97.878822 30.2026426),coffee,green
cafe,Starbucks,POINT (-97.7263957 30.4019908),coffee,green
restaurant,Mexican grille,POINT (-97.6089675 30.4433175),cutlery,green
cafe,Upper Crust Bakery,POINT (-97.7416401 30.3158003),coffee,green
cafe,Pacha,POINT (-97.7406015 30.3173785),coffee,green
restaurant,Blue Star Cafeteria,POINT (-97.7397518 30.3185788),cutlery,green
restaurant,Gusto Italian Kitchen,POINT (-97.7399664 30.3183417),cutlery,green
restaurant,The Omelettry,POINT (-97.7154666 30.3067572),cutlery,green
restaurant,Maru Japanese,POINT (-97.7402411 30.3179119),cutlery,green
pub,Billy's on Burnet Road,POINT (-97.7395201 30.3219573),beer,green
restaurant,Fonda San Miguel,POINT (-97.7433739 30.3255061),cutlery,green
restaurant,Sap's Fine Thai Cuisine,POINT (-97.7409207 30.333489),cutlery,green
restaurant,Taqueria Guadalajara Arandas,POINT (-97.7391639 30.341561),cutlery,green
bar,The Aristocrat,POINT (-97.73864 30.3402379),beer,green
bar,Lala's,POINT (-97.736413 30.3446186),beer,green
restaurant,El Mercado,POINT (-97.7350998 30.3502257),cutlery,green
restaurant,Madam Mam's,POINT (-97.7345247 30.3595133),cutlery,green
restaurant,Zen Japanese Food Fast,POINT (-97.7373039 30.360294),cutlery,green
cafe,Genuine Joe Coffeehouse,POINT (-97.7272892 30.3540549),coffee,green
restaurant,EZ's Brick Oven & Grill,POINT (-97.7419161 30.307639),cutlery,green
restaurant,Banzai Sushi & Grill,POINT (-97.7421749 30.3073735),cutlery,green
restaurant,Oakmont Food Company,POINT (-97.7442691 30.3059582),cutlery,green
cafe,Teo's Gelato and Espresso,POINT (-97.7451642 30.3065679),coffee,green
restaurant,Kerbey Lane Cafe,POINT (-97.7504833 30.3080182),cutlery,green
cafe,Russell's Bakery,POINT (-97.7601993 30.3327051),coffee,green
restaurant,Chez Zee,POINT (-97.7579163 30.3367185),cutlery,green
place_of_worship,Trinity Lutheran Church,POINT (-97.7404766 30.3145527),institution,orange
restaurant,Sip Pho,POINT (-97.7423368 30.2954158),cutlery,green
restaurant,Conan's Pizza,POINT (-97.7432724 30.2953787),cutlery,green
restaurant,Cabo Bob's,POINT (-97.7441221 30.2957196),cutlery,green
cafe,Ken's Donuts,POINT (-97.742826 30.2948674),coffee,green
restaurant,Trudy's Texas Star,POINT (-97.7409556 30.2958121),cutlery,green
cafe,La Tazza Fresca,POINT (-97.7386124 30.3016888),coffee,green
bar,Back,POINT (-97.7393505 30.3018518),beer,green
restaurant,NXNW North By Northwest,POINT (-97.7384912 30.3911344),cutlery,green
restaurant,Asia Cafe Sichuan,POINT (-97.7714511 30.4324425),cutlery,green
restaurant,The Cheesecake Factory,POINT (-97.7475971 30.3909012),cutlery,green
cafe,Chuck's Deli,POINT (-97.832796 30.141679),coffee,green
restaurant,Maudies Hacienda,POINT (-97.8476351 30.1832042),cutlery,green
restaurant,Galaxy Cafe,POINT (-97.8480556 30.1833377),cutlery,green
restaurant,Brick Oven,POINT (-97.848253 30.1835009),cutlery,green
restaurant,Tino's Greek Cafe,POINT (-97.8475149 30.1847771),cutlery,green
restaurant,Wok On Fire,POINT (-97.8472917 30.1851332),cutlery,green
cafe,Texenza Coffie,POINT (-97.8471973 30.1852296),coffee,green
cafe,Epoch Coffee,POINT (-97.7245043 30.3185317),coffee,green
restaurant,Casa Maria's,POINT (-97.772538 30.221089),cutlery,green
cafe,Starbucks,POINT (-97.7525341 30.394918),coffee,green
restaurant,la Madeleine,POINT (-97.7472319 30.3957428),cutlery,green
restaurant,Twin Lion,POINT (-97.748023 30.4001039),cutlery,green
restaurant,Brick Oven,POINT (-97.7490667 30.3988329),cutlery,green
restaurant,Modern Market,POINT (-97.7493683 30.3950396),cutlery,green
restaurant,Trento Restaurant,POINT (-97.8072898 30.3352645),cutlery,green
restaurant,Casa Alde Cafe,POINT (-97.8435057 30.0811794),cutlery,green
restaurant,Gary's Grill,POINT (-97.5849554 30.1100218),cutlery,green
restaurant,Las Flores,POINT (-97.5021607 30.0859914),cutlery,green
cafe,Starbucks,POINT (-97.7324514 30.2846841),coffee,green
pub,Posse East,POINT (-97.7346937 30.291373),beer,green
bar,Latchkey,POINT (-97.7286588 30.2640071),beer,green
restaurant,Mr. Catfish,POINT (-97.6907978 30.2723506),cutlery,green
restaurant,Kobe Japanese Steakhouse,POINT (-97.7920347 30.4491846),cutlery,green
restaurant,Jardin Corona Mexican Food,POINT (-97.7793674 30.4463358),cutlery,green
pub,Water Tank,POINT (-97.766952 30.4350154),beer,green
restaurant,Mi Madre's,POINT (-97.7189427 30.2841763),cutlery,green
restaurant,Michi Ramen,POINT (-97.8101558 30.4473236),cutlery,green
cafe,Big City Bagels & Subs,POINT (-97.8064641 30.4463352),coffee,green
restaurant,El Rincon,POINT (-97.6193236 30.4395219),cutlery,green
restaurant,WhipIn,POINT (-97.7394025 30.2381148),cutlery,green
bar,The Highball,POINT (-97.7631528 30.2561493),beer,green
restaurant,Masa y Mas,POINT (-97.7663914 30.2496256),cutlery,green
restaurant,Sazon,POINT (-97.7670565 30.2499685),cutlery,green
cafe,Picnik,POINT (-97.7657583 30.2512104),coffee,green
pub,Black Sheep Lodge,POINT (-97.7711334 30.2483397),beer,green
restaurant,Chinatown,POINT (-97.7833214 30.2415436),cutlery,green
pub,Kelly's Irish Pub,POINT (-97.7589557 30.2414134),beer,green
restaurant,Curra's Grill,POINT (-97.7494097 30.237152),cutlery,green
restaurant,The Greek Bar,POINT (-97.7496672 30.2371474),cutlery,green
restaurant,888 Pan Asian Restaurant,POINT (-97.7299369 30.2297317),cutlery,green
restaurant,Thai Fresh,POINT (-97.7617143 30.2479434),cutlery,green
restaurant,Soup Peddler,POINT (-97.7560714 30.2461944),cutlery,green
restaurant,Polvo's,POINT (-97.7574567 30.245295),cutlery,green
cafe,Starbucks,POINT (-97.7635967 30.252259),coffee,green
cafe,Bennu Coffee Shop,POINT (-97.7462026 30.2561056),coffee,green
restaurant,Perla's,POINT (-97.7500381 30.2499704),cutlery,green
cafe,Fair Bean Coffee,POINT (-97.7583643 30.2439425),coffee,green
restaurant,Lenoir,POINT (-97.7558981 30.246897),cutlery,green
restaurant,June's All Day,POINT (-97.7511384 30.2463014),cutlery,green
restaurant,Woodland,POINT (-97.7510901 30.2464589),cutlery,green
restaurant,Vespaio,POINT (-97.7506887 30.2479272),cutlery,green
cafe,Bouldin Creek Coffee House,POINT (-97.7566288 30.246512),coffee,green
restaurant,El Mercado,POINT (-97.7545812 30.2513434),cutlery,green
cafe,Once Over Coffee Bar,POINT (-97.7569898 30.2448093),coffee,green
restaurant,Little Mexico,POINT (-97.758921 30.2430066),cutlery,green
restaurant,Taqueria Arandas,POINT (-97.7609112 30.2406153),cutlery,green
cafe,Summermoon Coffee Bar,POINT (-97.7648433 30.2332092),coffee,green
pub,Opal Devine's,POINT (-97.7418028 30.2350713),beer,green
restaurant,El Borrego de Oro,POINT (-97.7634777 30.2242708),cutlery,green
restaurant,24 Diner,POINT (-97.7541298 30.2720726),cutlery,green
restaurant,Jeffrey's,POINT (-97.7591677 30.2804408),cutlery,green
restaurant,La Madelaine,POINT (-97.819725 30.2296069),cutlery,green
restaurant,Waterloo Ice House,POINT (-97.7893031 30.3608463),cutlery,green
restaurant,Oasis,POINT (-97.874321 30.405535),cutlery,green
restaurant,Technique,POINT (-97.721438 30.4008138),cutlery,green
restaurant,urban,POINT (-97.7244842 30.3994579),cutlery,green
restaurant,Maggiano's Little Italy,POINT (-97.7269507 30.3950453),cutlery,green
cafe,Yogurt Planet,POINT (-97.7275003 30.3959033),coffee,green
restaurant,Gloria's Latin Cuisine,POINT (-97.726048 30.4001775),cutlery,green
restaurant,Grand Lux Café,POINT (-97.726251 30.4024976),cutlery,green
restaurant,Dave & Buster's,POINT (-97.7374699 30.3833253),cutlery,green
restaurant,Jason's Deli,POINT (-97.7444977 30.3947997),cutlery,green
restaurant,Daily Grill,POINT (-97.7258494 30.4027966),cutlery,green
restaurant,Fleming's Prime Steakhouse and Wine Bar,POINT (-97.7256032 30.4031449),cutlery,green
restaurant,True Food Kitchen,POINT (-97.7266136 30.4021757),cutlery,green
restaurant,Asti,POINT (-97.7262204 30.3048563),cutlery,green
bar,CRÚ Food & Wine Bar,POINT (-97.726483 30.4020606),beer,green
bar,Detour,POINT (-97.7195839 30.3961623),beer,green
restaurant,Honest Mary's,POINT (-97.7484716 30.3950774),cutlery,green
cafe,FireBowlCafe,POINT (-97.7493734 30.3952181),coffee,green
restaurant,Gatti's Pizza,POINT (-97.746813 30.3998084),cutlery,green
restaurant,Fujiyama,POINT (-97.7485126 30.3999414),cutlery,green
cafe,Yogertz,POINT (-97.7491029 30.3987013),coffee,green
cafe,Great Harvest Bread Co.,POINT (-97.7483653 30.3999342),coffee,green
cafe,Cafe Java,POINT (-97.7041809 30.4001004),coffee,green
bar,Canary Roost Karaoke Bar,POINT (-97.7039615 30.4004847),beer,green
cafe,sodade,POINT (-97.7134001 30.4075615),coffee,green
cafe,Summer Moon Coffee Bar,POINT (-97.7202436 30.394281),coffee,green
restaurant,RedBrick Pizza,POINT (-97.7324885 30.3895722),cutlery,green
restaurant,Salata,POINT (-97.7329038 30.3888001),cutlery,green
cafe,Tinos Greek Cafe,POINT (-97.731603 30.3918238),coffee,green
restaurant,Southside Market & Barbeque,POINT (-97.7333692 30.3894932),cutlery,green
cafe,Flightpath Coffee House,POINT (-97.7199873 30.3138337),coffee,green
restaurant,Vazquez Mexican Restaurant,POINT (-97.672927 30.3753784),cutlery,green
restaurant,Pizza Hut,POINT (-97.6717349 30.3745401),cutlery,green
restaurant,Los Potrillos,POINT (-97.6900028 30.3568054),cutlery,green
restaurant,Denny's,POINT (-97.7052248 30.3325149),cutlery,green
restaurant,Keto Kitchen,POINT (-97.7083756 30.3161337),cutlery,green
restaurant,Hornitos,POINT (-97.7205415 30.294193),cutlery,green
restaurant,Star Seeds Cafe,POINT (-97.7230412 30.2886161),cutlery,green
restaurant,Dong Nai,POINT (-97.7930115 30.23371),cutlery,green
restaurant,China Family,POINT (-97.7165374 30.3340239),cutlery,green
restaurant,Tandoori Bistro,POINT (-97.7406066 30.2325951),cutlery,green
restaurant,Java Noodles,POINT (-97.7293306 30.2294109),cutlery,green
restaurant,Korea House,POINT (-97.7339922 30.3593073),cutlery,green
restaurant,Tien Jin Chinese Restaurant,POINT (-97.8026944 30.2307782),cutlery,green
restaurant,III Forks,POINT (-97.746747 30.264198),cutlery,green
restaurant,Sushi Hi,POINT (-97.7154058 30.3618059),cutlery,green
restaurant,Din Ho Chinese BBQ,POINT (-97.7156632 30.3610907),cutlery,green
restaurant,El Gallo Mexican Restaurant,POINT (-97.7586735 30.2331421),cutlery,green
pub,Moonshine Comfort & Cocktails,POINT (-97.7380295 30.2637792),beer,green
bar,Green Jay,POINT (-97.7365068 30.267755),beer,green
bar,Red Eyed Fly,POINT (-97.7364445 30.26794),beer,green
restaurant,Jaimes Spanish Village,POINT (-97.7365652 30.2687136),cutlery,green
restaurant,Hoek's Pizza,POINT (-97.7378522 30.2665547),cutlery,green
bar,Dirty Dog Bar,POINT (-97.7379787 30.2665898),beer,green
bar,Pete's Dueling Piano Bar,POINT (-97.7385615 30.266712),beer,green
restaurant,Roppolo's Pizza,POINT (-97.7386841 30.2670389),cutlery,green
bar,Mooseknuckle,POINT (-97.7389289 30.2671072),beer,green
restaurant,Iron Cactus,POINT (-97.7394843 30.2672622),cutlery,green
bar,Blind Pig,POINT (-97.73981 30.2670792),beer,green
bar,Shakespeare's,POINT (-97.739796 30.2673492),beer,green
restaurant,Old Pecan Street Cafe,POINT (-97.7399087 30.2673807),cutlery,green
bar,311,POINT (-97.74004 30.2670807),beer,green
bar,Vice,POINT (-97.7401125 30.2674486),beer,green
restaurant,Bikinis Sports Bar & Grill,POINT (-97.7406574 30.2675896),cutlery,green
bar,Darwin's,POINT (-97.7405942 30.267299),beer,green
bar,Soho,POINT (-97.7407594 30.2672482),beer,green
bar,Chuggin' Monkey,POINT (-97.7407252 30.2671957),beer,green
restaurant,Happy Chicks,POINT (-97.7407745 30.2676222),cutlery,green
restaurant,Marisco Grill,POINT (-97.7409874 30.2673138),cutlery,green
bar,Buffalo Billiards,POINT (-97.7412007 30.2674314),beer,green
bar,B. D. Riley's Irish Pub & Restaurant,POINT (-97.7411179 30.2677181),beer,green
restaurant,Eureka,POINT (-97.741256 30.267757),cutlery,green
bar,The Iron Bear,POINT (-97.7454056 30.2686438),beer,green
restaurant,Belmont,POINT (-97.7454947 30.2686611),cutlery,green
bar,Donn's Depot,POINT (-97.7634339 30.27407),beer,green
restaurant,Juanita's Tacos,POINT (-97.7577953 30.2717214),cutlery,green
restaurant,Corazon,POINT (-97.7563315 30.2708184),cutlery,green
cafe,Starbucks,POINT (-97.7540185 30.2699007),coffee,green
bar,Tinest Bar in Texas,POINT (-97.7530788 30.2695924),beer,green
bar,Lucky Lounge,POINT (-97.7453298 30.2674644),beer,green
bar,Basecamp,POINT (-97.7439557 30.2675086),beer,green
bar,Shiner's Saloon,POINT (-97.7434785 30.2669237),beer,green
bar,Lanai,POINT (-97.7435033 30.2670626),beer,green
bar,Canvas,POINT (-97.7422828 30.2667198),beer,green
bar,HandleBar,POINT (-97.7420908 30.2665872),beer,green
restaurant,Eddie V's,POINT (-97.7405459 30.2662223),cutlery,green
bar,Ego's,POINT (-97.7474697 30.2565437),beer,green
restaurant,El Flaco Cafe,POINT (-97.7622847 30.2266199),cutlery,green
bar,Stompin' Grounds Lounge,POINT (-97.7615678 30.2268623),beer,green
cafe,Revolución Coffee + Juice,POINT (-97.7413623 30.2643747),coffee,green
restaurant,Maiko Sushi,POINT (-97.7414463 30.2641473),cutlery,green
restaurant,Gus' Fried Chicken,POINT (-97.741701 30.26347),cutlery,green
cafe,Le Café Crêpe,POINT (-97.7418971 30.2638474),coffee,green
cafe,Fete Accompli,POINT (-97.7507791 30.2765454),coffee,green
restaurant,House Park Bar-B-Que,POINT (-97.750411 30.2767346),cutlery,green
restaurant,Perry's Steakhouse,POINT (-97.7435164 30.2694661),cutlery,green
restaurant,Quattro Gatti Ristorante,POINT (-97.7418546 30.271294),cutlery,green
restaurant,Roaring Fork,POINT (-97.7421993 30.2690633),cutlery,green
bar,Sky Lounge,POINT (-97.7436233 30.2670536),beer,green
restaurant,Congress Avenue Grocery,POINT (-97.7437082 30.2650401),cutlery,green
restaurant,Barletts,POINT (-97.7312443 30.3567746),cutlery,green
restaurant,La Casita,POINT (-97.7224631 30.3517455),cutlery,green
bar,Yellow Rose,POINT (-97.721924 30.3337186),beer,green
restaurant,La Madeleine,POINT (-97.7446209 30.3033701),cutlery,green
cafe,34th St Cafe,POINT (-97.7452903 30.302703),coffee,green
restaurant,Burger Tex,POINT (-97.7140493 30.3168803),cutlery,green
restaurant,Tacos Y Mas,POINT (-97.7029139 30.3550729),cutlery,green
restaurant,Mandarin House,POINT (-97.6992611 30.3584687),cutlery,green
restaurant,El Tacolote,POINT (-97.6960244 30.3641562),cutlery,green
restaurant,China Spice Seafood,POINT (-97.6951921 30.3674231),cutlery,green
bar,Club Bar Corona,POINT (-97.6905616 30.3737944),beer,green
restaurant,Chuy's,POINT (-97.6906032 30.3751992),cutlery,green
restaurant,Pok-E-Joe's BBQ,POINT (-97.6976689 30.4162355),cutlery,green
bar,Anderson Mill Tavern,POINT (-97.8068296 30.4462553),beer,green
restaurant,Mala Chili,POINT (-97.8003295 30.4779527),cutlery,green
restaurant,Kerbey Lane Cafe,POINT (-97.787084 30.4473524),cutlery,green
restaurant,Ramos Restaurant & Sports Bar,POINT (-97.5570466 30.340849),cutlery,green
restaurant,La Mexica,POINT (-97.5573996 30.3414946),cutlery,green
cafe,Conscious Cravings,POINT (-97.7449006 30.2829388),coffee,green
restaurant,Hai Ky,POINT (-97.7348261 30.2307085),cutlery,green
restaurant,Dimassi's Mediterranean Buffet,POINT (-97.7638265 30.4307304),cutlery,green
restaurant,Nasha,POINT (-97.7248744 30.2637439),cutlery,green
restaurant,El Zunzal,POINT (-97.7121017 30.2600696),cutlery,green
cafe,Halcyon,POINT (-97.7456939 30.266973),coffee,green
bar,Casino el Camino,POINT (-97.7824989 30.2285706),beer,green
restaurant,Tino's Greek Cafe,POINT (-97.791207 30.4471724),cutlery,green
restaurant,Chen's Noodle House,POINT (-97.770942 30.4321807),cutlery,green
restaurant,Madras Pavilion,POINT (-97.7241083 30.3729305),cutlery,green
restaurant,Thai House,POINT (-97.7254254 30.3735916),cutlery,green
restaurant,Mikado Ryotei,POINT (-97.7247091 30.3734303),cutlery,green
restaurant,Lucy's Fried Chicken,POINT (-97.7532506 30.240435),cutlery,green
bar,The Tigress,POINT (-97.7222217 30.3179356),beer,green
bar,Buddy's Place,POINT (-97.7271659 30.3690209),beer,green
restaurant,Chicha's Fire & Grill,POINT (-97.7643416 30.4306811),cutlery,green
restaurant,Lick Honest Ice Creams,POINT (-97.7625208 30.2555387),cutlery,green
restaurant,Mezze Cafe,POINT (-97.7581999 30.2416821),cutlery,green
restaurant,Cover 3,POINT (-97.7350186 30.3586499),cutlery,green
restaurant,Pho Thaison Vietnamese Cuisine,POINT (-97.7329949 30.3577778),cutlery,green
cafe,Starbucks,POINT (-97.7684727 30.2012416),coffee,green
restaurant,Pho Phi Restaurant,POINT (-97.6890262 30.4142742),cutlery,green
bar,Parmer Lane Tavern,POINT (-97.6966738 30.4154361),beer,green
restaurant,The Original Pancake House,POINT (-97.689309 30.4143938),cutlery,green
restaurant,Sushi Junai 2,POINT (-97.7020297 30.4221877),cutlery,green
cafe,Starbucks,POINT (-97.6882267 30.4132733),coffee,green
restaurant,La Brisa,POINT (-97.6854136 30.4461485),cutlery,green
restaurant,Four Seasons,POINT (-97.6856175 30.4463104),cutlery,green
pub,Riata Bar and Grill,POINT (-97.7499012 30.428533),beer,green
pub,Doc's Backyard,POINT (-97.8178433 30.2306336),beer,green
restaurant,Pizza Paradise,POINT (-97.697678 30.4075433),cutlery,green
restaurant,The Park at the Domain,POINT (-97.7237293 30.4030394),cutlery,green
restaurant,North,POINT (-97.7260086 30.4023299),cutlery,green
restaurant,Sixty Vines,POINT (-97.7270333 30.4003772),cutlery,green
restaurant,Thundercloud Sub,POINT (-97.6611781 30.4562471),cutlery,green
restaurant,Masala Wok,POINT (-97.6703787 30.4181515),cutlery,green
bar,The Brew Exchange,POINT (-97.7499377 30.2702132),beer,green
bar,J Blacks,POINT (-97.7502191 30.2703034),beer,green
bar,The Ranch,POINT (-97.750077 30.2702734),beer,green
restaurant,New Sitara Indian Cuisine,POINT (-97.674503 30.4351645),cutlery,green
bar,Homer's Neighborhood Bar,POINT (-97.6738592 30.4355974),beer,green
restaurant,Taqueria Guadalajara,POINT (-97.8156578 30.4627021),cutlery,green
restaurant,Tio Loco Tex-Mex,POINT (-97.8252325 30.4569343),cutlery,green
restaurant,Cicis,POINT (-97.6767258 30.4946608),cutlery,green
restaurant,Verdes Mexican Parilla,POINT (-98.0071148 30.2980674),cutlery,green
restaurant,Don Don Express,POINT (-97.8222758 30.4582826),cutlery,green
cafe,El Chilito Cafe y Cantina,POINT (-97.7183747 30.2841449),coffee,green
bar,Shangri La,POINT (-97.7316207 30.264933),beer,green
restaurant,Star of India,POINT (-97.7364139 30.3598996),cutlery,green
restaurant,Hopdoddy Burger Bar,POINT (-97.733103 30.3576246),cutlery,green
cafe,Starbucks,POINT (-97.8341789 30.4817012),coffee,green
restaurant,Santa Rita,POINT (-97.74429 30.306775),cutlery,green
restaurant,Waterloo Ice House,POINT (-97.8789401 30.2035018),cutlery,green
restaurant,Hyde Park Bar and Grill,POINT (-97.7267211 30.3041725),cutlery,green
restaurant,Mian & Bao,POINT (-97.732985 30.315328),cutlery,green
cafe,Monkey Nest,POINT (-97.7395271 30.3277452),coffee,green
pub,Pinthouse Pizza,POINT (-97.7390631 30.3187523),beer,green
cafe,Starbucks,POINT (-97.7411185 30.2860744),coffee,green
restaurant,Hala Bros,POINT (-97.8268734 30.4522736),cutlery,green
bar,Workhorse Bar,POINT (-97.7219593 30.3178517),beer,green
bar,Drink Well,POINT (-97.7206057 30.3172224),beer,green
restaurant,Taqueria Chapala,POINT (-97.7649008 30.2204769),cutlery,green
pub,Bender Bar & Grill,POINT (-97.7674191 30.2241986),beer,green
restaurant,parkside,POINT (-97.740299 30.267202),cutlery,green
cafe,Starbucks,POINT (-97.740414 30.265449),coffee,green
restaurant,Champions,POINT (-97.740157 30.265402),cutlery,green
restaurant,Mai Thai,POINT (-97.741411 30.264266),cutlery,green
restaurant,Thundercloud Subs,POINT (-97.8007484 30.2732782),cutlery,green
restaurant,Texas Honey Ham,POINT (-97.8069902 30.280724),cutlery,green
cafe,Starbucks,POINT (-97.7563416 30.3546718),coffee,green
restaurant,Mangia Pizza,POINT (-97.7585108 30.370621),cutlery,green
restaurant,Bill Miller Bar-BQ,POINT (-97.7899105 30.1676447),cutlery,green
cafe,Starbucks,POINT (-97.788159 30.1656017),coffee,green
restaurant,Tomodachi Sushi,POINT (-97.7169729 30.425422),cutlery,green
restaurant,Don Marios,POINT (-97.9271922 30.411828),cutlery,green
